	test
285	['жиотный', 'окупанты', 'разрушить', 'весь', 'город', 'инфраструктура', 'мосфильм', 'восстановить', 'пара', 'дом']
286	['🤡', 'страна', 'твой', 'цирк', 'шапито', 'уехать', 'гастролировать', 'остаться']
287	['действительно', 'классно', 'построить', 'главное', 'белый', 'карта', 'отвалиться', '😂', 'ведь', 'сам', 'свой', 'глаз', 'видеть', 'делать', 'дорога', '🤣']
288	['недавно', 'подрыв', 'узнать', 'крымский', 'мост', 'всё', 'ухо', 'ходить', 'это', 'фейк']
289	['💩', 'страна', 'как', 'завещать', 'ева', 'ям', 'товарищ', 'ленин', 'езжать', 'киев', 'день', 'попутка', 'доберёшся']
290	['💩', 'страна', 'у', 'истерический', 'припадок', 'истерический', 'припадок', 'симптом', 'причина', 'развитие', 'диагностика', 'чем', 'истерический', 'припадок', 'отличаться', 'эпилептический', 'симптом', 'истерический', 'припадок', 'представлять', 'себя', 'вид', 'невроз', 'который', 'характерный', 'показательный', 'эмоциональный', 'состояние', 'крик', 'слеза', 'громкий', 'смех', 'выгибание', 'заламывание', 'рука', 'судорожный', 'гиперкинез', 'периодический', 'паралич', 'пр', 'истерический', 'припадок', 'мужчина', 'развиваться', 'гораздо', 'редкий', 'женщина', 'дать', 'патология', 'свойственный', 'человек', 'иметь', 'определённый', 'склад', 'личность', 'подверженный', 'приступ', 'истерия', 'внушать', 'самовнушать', 'склонный', 'фантазия', 'неустойчивый', 'настроение', 'поведение', 'привлекать', 'внимание', 'экстравагантный', '«театральными»', 'действие', 'зачастую', 'развитие', 'истерический', 'припадок', 'связать', 'наличие', 'психосоматический', 'отклонение', 'фобия', 'неприязнь', 'цифра', 'цвета', 'картинка', 'уверенность', 'существование', 'заговор', 'против', 'тяжёлый', 'степень', 'истерия', 'называться', 'истерический', 'психопатия', 'истерический', 'припадок', 'такой', 'человек', 'являться', 'спектакль', 'настоящий', 'заболевание', 'который', 'требовать', 'оказание', 'квалифицировать', 'медицинский', 'помощь']
291	['если', 'выгнать', 'сила', 'наказать', 'наказать']
292	['бог', 'наказывать', 'просто', 'оставить', 'свой', 'защита', 'благодать', 'страна', 'украина']
293	['весь', 'москва', 'отправить']
294	['очень', 'важно', 'твой', 'мнение', '🤣']
295	['отправить', 'речка', 'амазонка', '😇', 'очень', 'понравиться', 'обитатель', 'река', '😊', '🤣', 'особенно', 'пиранья', '🤣', '🤣']
296	['пусть', 'работать', 'идти']
297	['самокритичный', 'идти', 'работать']
298	['ну', 'нужно', 'вымаливать', 'точно', 'быть', 'выкуривать', 'выкидывать', 'выбивать', 'быть']
299	['💩', 'страна', 'как', 'завещать', 'ты', 'ева', 'ю', 'товарищ', 'ленин', 'езжать', 'киев', 'день', 'попутка', 'доберёшся']
300	['калибр', 'быстрый']
301	['тля', 'моль', 'герань', 'это', 'цветок', 'герань', 'помогать', 'молить', 'я', 'нравиться', 'герань']
302	['а', 'ещё', 'этот', 'цыган', 'ждать', 'из', 'навоз', 'вынуть', 'год', 'назад', 'помыть', 'почистить', 'обратнка', 'норовить', 'племя', 'видимо', 'такой']
303	['кишинёв', 'сделать', 'правильный', 'выбор']
304	['право', 'вымирание', 'молдован', 'правильный', 'выбор', 'кишинёв']
305	['всё', 'выезд']
306	['захаров', 'главное', 'позорище', 'наш', 'дипломатия', 'хабалка']
307	['захаров', 'прекрасно', 'отражать', 'позиция', 'наш', 'мид', 'какой', 'вопрос']
308	['пилось', 'нулан', '🤣']
309	['💩', 'страна', 'как', 'завещать', 'ты', 'товарищ', 'ленин', 'езжать', 'киев', 'день', 'доберёшся', 'попутка']
310	['правильный', 'кличка']
